iter	Logloss
0	0.6764716199
1	0.6635888985
2	0.6486347303
3	0.6363295309
4	0.6240854196
5	0.6131662985
6	0.6049334369
7	0.596740408
8	0.5891148564
9	0.5831143475
10	0.5767074012
11	0.5719550943
12	0.5670471442
13	0.5622529151
14	0.5575825458
15	0.553681623
16	0.5497254293
17	0.5464513128
18	0.5434410092
19	0.5403155612
20	0.5385293993
21	0.5362444205
22	0.5337789357
23	0.5316840211
24	0.5297730074
25	0.5276572632
26	0.5263295616
27	0.5249150242
28	0.5233114121
29	0.5215111641
30	0.5202876509
31	0.5188093124
32	0.5174479116
33	0.5161204122
34	0.5149448544
35	0.5141697635
36	0.5132393435
37	0.5120168931
38	0.5108716172
39	0.5096807423
40	0.508895841
41	0.508085048
42	0.5072418352
43	0.5059999017
44	0.5051979458
45	0.5043856248
46	0.5038501498
47	0.503307614
48	0.5028479203
49	0.5020093686
50	0.5008098132
51	0.5001070421
52	0.4996122327
53	0.4990078834
54	0.4983410682
55	0.4976927327
56	0.4971115852
57	0.4966341413
58	0.496006813
59	0.4953765774
60	0.4947133177
61	0.4942720589
62	0.4938758531
63	0.4933590043
64	0.4930305664
65	0.4923768398
66	0.4920599994
67	0.4917568626
68	0.4914196834
69	0.4909142736
70	0.4905859871
71	0.4899065298
72	0.489343955
73	0.4889137829
74	0.4881153802
75	0.4877293576
76	0.4874080104
77	0.4869717673
78	0.4866507784
79	0.486313986
80	0.4859887836
81	0.4855416369
82	0.4851153604
83	0.4846129823
84	0.4843571446
85	0.4841792058
86	0.484060515
87	0.4835667336
88	0.4832160363
89	0.4830523254
90	0.4826441921
91	0.4822798077
92	0.4816731727
93	0.4813865783
94	0.4810181972
95	0.48084761
96	0.4802302547
97	0.479561157
98	0.4792998179
99	0.4791243358
