iter	Passed	Remaining
0	21	2157
1	34	1683
2	56	1828
3	72	1747
4	90	1710
5	106	1671
6	123	1637
7	139	1606
8	155	1570
9	172	1556
10	190	1541
11	206	1511
12	221	1485
13	238	1462
14	254	1442
15	271	1423
16	287	1405
17	303	1384
18	319	1361
19	335	1341
20	400	1505
21	439	1558
22	459	1538
23	475	1506
24	491	1475
25	508	1447
26	524	1417
27	541	1393
28	557	1365
29	574	1340
30	590	1314
31	606	1289
32	623	1265
33	639	1241
34	655	1218
35	671	1194
36	687	1171
37	704	1149
38	720	1127
39	737	1106
40	753	1084
41	770	1063
42	786	1042
43	803	1022
44	819	1001
45	842	988
46	862	972
47	878	951
48	895	931
49	912	912
50	929	892
51	944	872
52	961	852
53	978	833
54	994	813
55	1010	793
56	1026	774
57	1042	755
58	1059	736
59	1074	716
60	1092	698
61	1108	679
62	1125	661
63	1141	642
64	1157	623
65	1174	604
66	1190	586
67	1206	567
68	1222	549
69	1241	531
70	1259	514
71	1277	496
72	1294	478
73	1310	460
74	1327	442
75	1344	424
76	1360	406
77	1376	388
78	1392	370
79	1408	352
80	1425	334
81	1441	316
82	1457	298
83	1474	280
84	1490	263
85	1507	245
86	1515	226
87	1531	208
88	1545	190
89	1559	173
90	1575	155
91	1591	138
92	1608	121
93	1624	103
94	1639	86
95	1653	68
96	1668	51
97	1685	34
98	1701	17
99	1715	0
